2020-11-30 12:24:41 INFO  IState:10 - abstract default implementation for the state called
2020-11-30 12:25:05 INFO  IState:10 - abstract default implementation for the state called
2020-11-30 12:25:06 INFO  IState:10 - abstract default implementation for the state called
2020-11-30 12:25:06 INFO  InitializeSeasonState:15 - Initializing season.
2020-11-30 12:25:06 INFO  InitializeSeasonState:21 - General season schedule created.
2020-11-30 12:25:06 INFO  AdvanceTimeState:28 - Advanced date by one day, current date: 2020-10-01
2020-11-30 12:25:06 INFO  IState:10 - abstract default implementation for the state called
2020-11-30 12:25:06 INFO  SimulateMatch:201 - Match Day : Moscow Warriors Vs Gander Sleepy Goats on 2020-10-01 was won by Moscow Warriors
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : Cairo Wild Cats Vs Tokyo Mutineers on 2020-10-01 was won by Tokyo Mutineers
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : Detroit Bobcats Vs Saint John Taxi Cabs on 2020-10-01 was won by Saint John Taxi Cabs
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : Sunnyside Hound Dogs Vs Halifax Sleepy Goats on 2020-10-01 was won by Halifax Sleepy Goats
2020-11-30 12:25:06 INFO  SimulateMatch:201 - Match Day : deep Vs Toronto Reds on 2020-10-01 was won by deep
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : Shanghai Blazers Vs Cairo Blues on 2020-10-01 was won by Cairo Blues
2020-11-30 12:25:06 INFO  SimulateMatch:201 - Match Day : London Voyageurs Vs Shanghai Farmers on 2020-10-01 was won by London Voyageurs
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : Sunnyside Wild Horses Vs New York Whales on 2020-10-01 was won by New York Whales
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : London Monkeys Vs London Monkeys on 2020-10-01 was won by London Monkeys
2020-11-30 12:25:06 INFO  SimulateMatch:201 - Match Day : Seattle Blues Vs Jakarta Privateers on 2020-10-01 was won by Seattle Blues
2020-11-30 12:25:06 INFO  SimulateMatch:201 - Match Day : Chicago Voyageurs Vs Saint John Dragons on 2020-10-01 was won by Chicago Voyageurs
2020-11-30 12:25:06 INFO  SimulateMatch:201 - Match Day : Chicago Meow Meows Vs Wuhan Farmers on 2020-10-01 was won by Chicago Meow Meows
2020-11-30 12:25:06 INFO  SimulateMatch:201 - Match Day : Regina Hound Dogs Vs Wuhan Hound Dogs on 2020-10-01 was won by Regina Hound Dogs
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : Toronto Lazy Dogs Vs Toronto Milk Cartons on 2020-10-01 was won by Toronto Milk Cartons
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : London Milk Cartons Vs Montreal Warriors on 2020-10-01 was won by Montreal Warriors
2020-11-30 12:25:06 INFO  SimulateMatch:201 - Match Day : Toronto Warriors Vs Jakarta Reds on 2020-10-01 was won by Toronto Warriors
2020-11-30 12:25:06 INFO  SimulateMatch:187 - Match Day : Philidelphia Bobcats Vs Jakarta Blues on 2020-10-01 was won by Jakarta Blues
2020-11-30 12:25:06 INFO  FreeAgent:264 - Shakuntala Thomson from team deep got injured and will recovered on 2021-02-01!!!
2020-11-30 12:25:06 INFO  FreeAgent:264 - Sai Samson from team deep got injured and will recovered on 2021-05-26!!!
2020-11-30 12:25:06 INFO  FreeAgent:264 - Mike Williamson from team deep got injured and will recovered on 2021-06-18!!!
2020-11-30 12:25:06 INFO  Player:289 - Zongming Burbchuk from team Jakarta Reds got injured and will recovered on 2021-06-29!!!
2020-11-30 12:25:06 INFO  Player:289 - Mike Jones from team Jakarta Reds got injured and will recovered on 2021-03-17!!!
2020-11-30 12:25:06 INFO  Player:289 - Zongming Fei from team Jakarta Reds got injured and will recovered on 2021-02-14!!!
2020-11-30 12:25:06 INFO  Player:289 - Mohammed Samson from team Jakarta Reds got injured and will recovered on 2021-06-22!!!
2020-11-30 12:25:06 INFO  Player:289 - Chris Khatri from team Detroit Bobcats got injured and will recovered on 2021-08-16!!!
2020-11-30 12:25:06 INFO  Player:289 - Mohammed Bishop from team Detroit Bobcats got injured and will recovered on 2021-06-04!!!
2020-11-30 12:25:06 INFO  Player:289 - Zongming Morrison from team Saint John Dragons got injured and will recovered on 2020-12-01!!!
2020-11-30 12:25:06 INFO  Player:289 - Mike Chang from team Saint John Dragons got injured and will recovered on 2021-04-30!!!
2020-11-30 12:25:06 INFO  Player:289 - Rahul Bonham from team Saint John Dragons got injured and will recovered on 2021-07-11!!!
2020-11-30 12:25:06 INFO  Player:289 - John Khatri from team Toronto Lazy Dogs got injured and will recovered on 2020-11-19!!!
2020-11-30 12:25:06 INFO  Player:289 - Mozhgan Plant from team Toronto Lazy Dogs got injured and will recovered on 2021-06-24!!!
2020-11-30 12:25:06 INFO  Player:289 - John Halen from team Toronto Lazy Dogs got injured and will recovered on 2021-05-21!!!
2020-11-30 12:25:06 INFO  Player:289 - Jimmy Singh from team Toronto Lazy Dogs got injured and will recovered on 2021-07-09!!!
2020-11-30 12:25:06 INFO  Player:289 - Wen Bishop from team Toronto Lazy Dogs got injured and will recovered on 2021-06-11!!!
2020-11-30 12:25:06 INFO  Player:289 - Prashant Bonham from team Toronto Lazy Dogs got injured and will recovered on 2021-01-23!!!
2020-11-30 12:25:06 INFO  Player:289 - Tina Williamson from team Toronto Warriors got injured and will recovered on 2021-06-20!!!
2020-11-30 12:25:06 INFO  Player:289 - Prashant Wu from team Toronto Warriors got injured and will recovered on 2021-01-31!!!
2020-11-30 12:25:06 INFO  Player:289 - Mohammed Thomson from team Toronto Warriors got injured and will recovered on 2021-03-21!!!
2020-11-30 12:25:06 INFO  Player:289 - Mary Liu from team Toronto Warriors got injured and will recovered on 2021-02-10!!!
2020-11-30 12:25:06 INFO  Player:289 - Zongming Cherry from team Toronto Warriors got injured and will recovered on 2020-10-14!!!
2020-11-30 12:25:06 INFO  Player:289 - Mozhgan Halen from team Toronto Warriors got injured and will recovered on 2021-07-30!!!
2020-11-30 12:25:06 INFO  Player:289 - Mike Chang from team Toronto Warriors got injured and will recovered on 2021-08-02!!!
2020-11-30 12:25:06 INFO  Player:289 - Wen Burbchuk from team Tokyo Mutineers got injured and will recovered on 2021-03-27!!!
2020-11-30 12:25:06 INFO  Player:289 - Karan Liu from team Tokyo Mutineers got injured and will recovered on 2021-01-29!!!
2020-11-30 12:25:06 INFO  Player:289 - Mohammed Page from team Tokyo Mutineers got injured and will recovered on 2020-12-31!!!
2020-11-30 12:25:06 INFO  Player:289 - Zongming Page from team Tokyo Mutineers got injured and will recovered on 2021-08-06!!!
2020-11-30 12:25:06 INFO  Player:289 - Karan Wu from team Wuhan Farmers got injured and will recovered on 2021-01-18!!!
2020-11-30 12:25:06 INFO  Player:289 - Mike Hawkey from team Wuhan Farmers got injured and will recovered on 2021-05-29!!!
2020-11-30 12:25:06 INFO  Player:289 - Rashita Fei from team Wuhan Farmers got injured and will recovered on 2021-02-17!!!
